01/21 06:39:42 PM | Epoch[0] (14592/50000):	Loss 0.3107	Accurary 90.10%		Time 20.03s
01/21 06:39:42 PM | Epoch[0] (14592/50000):	Loss 0.3107	Accurary 90.10%		Time 20.03s
01/21 06:39:42 PM | Epoch[0] (14592/50000):	Loss 0.3107	Accurary 90.10%		Time 20.03s
01/21 06:40:03 PM | Epoch[0] (19456/50000):	Loss 0.2804	Accurary 90.98%		Time 20.26s
01/21 06:40:03 PM | Epoch[0] (19456/50000):	Loss 0.2804	Accurary 90.98%		Time 20.26s
01/21 06:40:03 PM | Epoch[0] (19456/50000):	Loss 0.2804	Accurary 90.98%		Time 20.26s
01/21 06:40:03 PM | Epoch[0] (19456/50000):	Loss 0.2804	Accurary 90.98%		Time 20.26s
01/21 06:40:03 PM | Epoch[0] (19456/50000):	Loss 0.2804	Accurary 90.98%		Time 20.26s
01/21 06:40:23 PM | Epoch[0] (24320/50000):	Loss 0.2574	Accurary 91.69%		Time 20.49s
01/21 06:40:23 PM | Epoch[0] (24320/50000):	Loss 0.2574	Accurary 91.69%		Time 20.49s
01/21 06:40:23 PM | Epoch[0] (24320/50000):	Loss 0.2574	Accurary 91.69%		Time 20.49s
01/21 06:40:23 PM | Epoch[0] (24320/50000):	Loss 0.2574	Accurary 91.69%		Time 20.49s
01/21 06:40:23 PM | Epoch[0] (24320/50000):	Loss 0.2574	Accurary 91.69%		Time 20.49s
01/21 06:40:43 PM | Epoch[0] (29184/50000):	Loss 0.2434	Accurary 92.09%		Time 19.87s
01/21 06:40:43 PM | Epoch[0] (29184/50000):	Loss 0.2434	Accurary 92.09%		Time 19.87s
01/21 06:40:43 PM | Epoch[0] (29184/50000):	Loss 0.2434	Accurary 92.09%		Time 19.87s
01/21 06:40:43 PM | Epoch[0] (29184/50000):	Loss 0.2434	Accurary 92.09%		Time 19.87s
01/21 06:40:43 PM | Epoch[0] (29184/50000):	Loss 0.2434	Accurary 92.09%		Time 19.87s
01/21 06:41:03 PM | Epoch[0] (34048/50000):	Loss 0.2326	Accurary 92.40%		Time 19.98s
01/21 06:41:03 PM | Epoch[0] (34048/50000):	Loss 0.2326	Accurary 92.40%		Time 19.98s
01/21 06:41:03 PM | Epoch[0] (34048/50000):	Loss 0.2326	Accurary 92.40%		Time 19.98s
01/21 06:41:03 PM | Epoch[0] (34048/50000):	Loss 0.2326	Accurary 92.40%		Time 19.98s
01/21 06:41:03 PM | Epoch[0] (34048/50000):	Loss 0.2326	Accurary 92.40%		Time 19.98s
01/21 06:41:23 PM | Epoch[0] (38912/50000):	Loss 0.2267	Accurary 92.60%		Time 19.83s
01/21 06:41:23 PM | Epoch[0] (38912/50000):	Loss 0.2267	Accurary 92.60%		Time 19.83s
01/21 06:41:23 PM | Epoch[0] (38912/50000):	Loss 0.2267	Accurary 92.60%		Time 19.83s
01/21 06:41:23 PM | Epoch[0] (38912/50000):	Loss 0.2267	Accurary 92.60%		Time 19.83s
01/21 06:41:23 PM | Epoch[0] (38912/50000):	Loss 0.2267	Accurary 92.60%		Time 19.83s
01/21 06:41:43 PM | Epoch[0] (43776/50000):	Loss 0.2207	Accurary 92.77%		Time 20.47s
01/21 06:41:43 PM | Epoch[0] (43776/50000):	Loss 0.2207	Accurary 92.77%		Time 20.47s
01/21 06:41:43 PM | Epoch[0] (43776/50000):	Loss 0.2207	Accurary 92.77%		Time 20.47s
01/21 06:41:43 PM | Epoch[0] (43776/50000):	Loss 0.2207	Accurary 92.77%		Time 20.47s
01/21 06:41:43 PM | Epoch[0] (43776/50000):	Loss 0.2207	Accurary 92.77%		Time 20.47s
01/21 06:42:03 PM | Epoch[0] (48640/50000):	Loss 0.2170	Accurary 92.85%		Time 20.05s
01/21 06:42:03 PM | Epoch[0] (48640/50000):	Loss 0.2170	Accurary 92.85%		Time 20.05s
01/21 06:42:03 PM | Epoch[0] (48640/50000):	Loss 0.2170	Accurary 92.85%		Time 20.05s
01/21 06:42:03 PM | Epoch[0] (48640/50000):	Loss 0.2170	Accurary 92.85%		Time 20.05s
01/21 06:42:03 PM | Epoch[0] (48640/50000):	Loss 0.2170	Accurary 92.85%		Time 20.05s
01/21 06:42:13 PM | Test Loss 0.4028	Accurary 87.03%		Time 4.64s

01/21 06:42:13 PM | Test Loss 0.4028	Accurary 87.03%		Time 4.64s

01/21 06:42:13 PM | Test Loss 0.4028	Accurary 87.03%		Time 4.64s

01/21 06:42:13 PM | Test Loss 0.4028	Accurary 87.03%		Time 4.64s

01/21 06:42:13 PM | Test Loss 0.4028	Accurary 87.03%		Time 4.64s

01/21 06:42:38 PM | Epoch[1] (4864/50000):	Loss 0.1807	Accurary 93.89%		Time 25.43s
01/21 06:42:38 PM | Epoch[1] (4864/50000):	Loss 0.1807	Accurary 93.89%		Time 25.43s
01/21 06:42:38 PM | Epoch[1] (4864/50000):	Loss 0.1807	Accurary 93.89%		Time 25.43s
01/21 06:42:38 PM | Epoch[1] (4864/50000):	Loss 0.1807	Accurary 93.89%		Time 25.43s
01/21 06:42:38 PM | Epoch[1] (4864/50000):	Loss 0.1807	Accurary 93.89%		Time 25.43s
01/21 06:42:58 PM | Epoch[1] (9728/50000):	Loss 0.1610	Accurary 94.68%		Time 19.81s
01/21 06:42:58 PM | Epoch[1] (9728/50000):	Loss 0.1610	Accurary 94.68%		Time 19.81s
01/21 06:42:58 PM | Epoch[1] (9728/50000):	Loss 0.1610	Accurary 94.68%		Time 19.81s
01/21 06:42:58 PM | Epoch[1] (9728/50000):	Loss 0.1610	Accurary 94.68%		Time 19.81s
01/21 06:42:58 PM | Epoch[1] (9728/50000):	Loss 0.1610	Accurary 94.68%		Time 19.81s
01/21 06:43:18 PM | Epoch[1] (14592/50000):	Loss 0.1554	Accurary 94.79%		Time 19.87s
01/21 06:43:18 PM | Epoch[1] (14592/50000):	Loss 0.1554	Accurary 94.79%		Time 19.87s
01/21 06:43:18 PM | Epoch[1] (14592/50000):	Loss 0.1554	Accurary 94.79%		Time 19.87s
01/21 06:43:18 PM | Epoch[1] (14592/50000):	Loss 0.1554	Accurary 94.79%		Time 19.87s
01/21 06:43:18 PM | Epoch[1] (14592/50000):	Loss 0.1554	Accurary 94.79%		Time 19.87s
01/21 06:43:38 PM | Epoch[1] (19456/50000):	Loss 0.1592	Accurary 94.59%		Time 20.81s
01/21 06:43:38 PM | Epoch[1] (19456/50000):	Loss 0.1592	Accurary 94.59%		Time 20.81s
01/21 06:43:38 PM | Epoch[1] (19456/50000):	Loss 0.1592	Accurary 94.59%		Time 20.81s
01/21 06:43:38 PM | Epoch[1] (19456/50000):	Loss 0.1592	Accurary 94.59%		Time 20.81s
01/21 06:43:38 PM | Epoch[1] (19456/50000):	Loss 0.1592	Accurary 94.59%		Time 20.81s
01/21 06:43:59 PM | Epoch[1] (24320/50000):	Loss 0.1657	Accurary 94.35%		Time 20.49s
01/21 06:43:59 PM | Epoch[1] (24320/50000):	Loss 0.1657	Accurary 94.35%		Time 20.49s
01/21 06:43:59 PM | Epoch[1] (24320/50000):	Loss 0.1657	Accurary 94.35%		Time 20.49s
01/21 06:43:59 PM | Epoch[1] (24320/50000):	Loss 0.1657	Accurary 94.35%		Time 20.49s
01/21 06:43:59 PM | Epoch[1] (24320/50000):	Loss 0.1657	Accurary 94.35%		Time 20.49s
01/21 06:44:20 PM | Epoch[1] (29184/50000):	Loss 0.1673	Accurary 94.27%		Time 20.66s
01/21 06:44:20 PM | Epoch[1] (29184/50000):	Loss 0.1673	Accurary 94.27%		Time 20.66s
01/21 06:44:20 PM | Epoch[1] (29184/50000):	Loss 0.1673	Accurary 94.27%		Time 20.66s
01/21 06:44:20 PM | Epoch[1] (29184/50000):	Loss 0.1673	Accurary 94.27%		Time 20.66s
01/21 06:44:20 PM | Epoch[1] (29184/50000):	Loss 0.1673	Accurary 94.27%		Time 20.66s
01/21 06:44:41 PM | Epoch[1] (34048/50000):	Loss 0.1684	Accurary 94.23%		Time 21.34s
01/21 06:44:41 PM | Epoch[1] (34048/50000):	Loss 0.1684	Accurary 94.23%		Time 21.34s
01/21 06:44:41 PM | Epoch[1] (34048/50000):	Loss 0.1684	Accurary 94.23%		Time 21.34s
01/21 06:44:41 PM | Epoch[1] (34048/50000):	Loss 0.1684	Accurary 94.23%		Time 21.34s
01/21 06:44:41 PM | Epoch[1] (34048/50000):	Loss 0.1684	Accurary 94.23%		Time 21.34s
01/21 06:45:02 PM | Epoch[1] (38912/50000):	Loss 0.1692	Accurary 94.22%		Time 21.06s
01/21 06:45:02 PM | Epoch[1] (38912/50000):	Loss 0.1692	Accurary 94.22%		Time 21.06s
01/21 06:45:02 PM | Epoch[1] (38912/50000):	Loss 0.1692	Accurary 94.22%		Time 21.06s
01/21 06:45:02 PM | Epoch[1] (38912/50000):	Loss 0.1692	Accurary 94.22%		Time 21.06s
01/21 06:45:02 PM | Epoch[1] (38912/50000):	Loss 0.1692	Accurary 94.22%		Time 21.06s
01/21 06:45:24 PM | Epoch[1] (43776/50000):	Loss 0.1675	Accurary 94.27%		Time 21.52s
01/21 06:45:24 PM | Epoch[1] (43776/50000):	Loss 0.1675	Accurary 94.27%		Time 21.52s
01/21 06:45:24 PM | Epoch[1] (43776/50000):	Loss 0.1675	Accurary 94.27%		Time 21.52s
01/21 06:45:24 PM | Epoch[1] (43776/50000):	Loss 0.1675	Accurary 94.27%		Time 21.52s
01/21 06:45:24 PM | Epoch[1] (43776/50000):	Loss 0.1675	Accurary 94.27%		Time 21.52s
01/21 06:45:44 PM | Epoch[1] (48640/50000):	Loss 0.1705	Accurary 94.21%		Time 20.83s
01/21 06:45:44 PM | Epoch[1] (48640/50000):	Loss 0.1705	Accurary 94.21%		Time 20.83s
01/21 06:45:44 PM | Epoch[1] (48640/50000):	Loss 0.1705	Accurary 94.21%		Time 20.83s
01/21 06:45:44 PM | Epoch[1] (48640/50000):	Loss 0.1705	Accurary 94.21%		Time 20.83s
01/21 06:45:44 PM | Epoch[1] (48640/50000):	Loss 0.1705	Accurary 94.21%		Time 20.83s
01/21 06:45:54 PM | Test Loss 0.4237	Accurary 87.09%		Time 4.98s

01/21 06:45:54 PM | Test Loss 0.4237	Accurary 87.09%		Time 4.98s

01/21 06:45:54 PM | Test Loss 0.4237	Accurary 87.09%		Time 4.98s

01/21 06:45:54 PM | Test Loss 0.4237	Accurary 87.09%		Time 4.98s

01/21 06:45:54 PM | Test Loss 0.4237	Accurary 87.09%		Time 4.98s

01/21 06:45:54 PM | ############# model0_2epoch:87.08999633789062 using 436.34533643722534s #################
01/21 06:45:54 PM | ############# model0_2epoch:87.08999633789062 using 436.34533643722534s #################
01/21 06:45:54 PM | ############# model0_2epoch:87.08999633789062 using 436.34533643722534s #################
01/21 06:45:54 PM | ############# model0_2epoch:87.08999633789062 using 436.34533643722534s #################
01/21 06:45:54 PM | ############# model0_2epoch:87.08999633789062 using 436.34533643722534s #################
01/21 06:46:16 PM | Epoch[0] (4864/50000):	Loss 0.4871	Accurary 85.51%		Time 21.60s
01/21 06:46:16 PM | Epoch[0] (4864/50000):	Loss 0.4871	Accurary 85.51%		Time 21.60s
01/21 06:46:16 PM | Epoch[0] (4864/50000):	Loss 0.4871	Accurary 85.51%		Time 21.60s
01/21 06:46:16 PM | Epoch[0] (4864/50000):	Loss 0.4871	Accurary 85.51%		Time 21.60s
01/21 06:46:16 PM | Epoch[0] (4864/50000):	Loss 0.4871	Accurary 85.51%		Time 21.60s
01/21 06:46:32 PM | Epoch[0] (9728/50000):	Loss 0.3904	Accurary 87.85%		Time 16.39s
01/21 06:46:32 PM | Epoch[0] (9728/50000):	Loss 0.3904	Accurary 87.85%		Time 16.39s
01/21 06:46:32 PM | Epoch[0] (9728/50000):	Loss 0.3904	Accurary 87.85%		Time 16.39s
01/21 06:46:32 PM | Epoch[0] (9728/50000):	Loss 0.3904	Accurary 87.85%		Time 16.39s
01/21 06:46:32 PM | Epoch[0] (9728/50000):	Loss 0.3904	Accurary 87.85%		Time 16.39s
01/21 06:46:49 PM | Epoch[0] (14592/50000):	Loss 0.3334	Accurary 89.41%		Time 16.63s
01/21 06:46:49 PM | Epoch[0] (14592/50000):	Loss 0.3334	Accurary 89.41%		Time 16.63s
01/21 06:46:49 PM | Epoch[0] (14592/50000):	Loss 0.3334	Accurary 89.41%		Time 16.63s
01/21 06:46:49 PM | Epoch[0] (14592/50000):	Loss 0.3334	Accurary 89.41%		Time 16.63s
01/21 06:46:49 PM | Epoch[0] (14592/50000):	Loss 0.3334	Accurary 89.41%		Time 16.63s
01/21 06:47:06 PM | Epoch[0] (19456/50000):	Loss 0.3004	Accurary 90.44%		Time 16.73s
01/21 06:47:06 PM | Epoch[0] (19456/50000):	Loss 0.3004	Accurary 90.44%		Time 16.73s
01/21 06:47:06 PM | Epoch[0] (19456/50000):	Loss 0.3004	Accurary 90.44%		Time 16.73s
01/21 06:47:06 PM | Epoch[0] (19456/50000):	Loss 0.3004	Accurary 90.44%		Time 16.73s
